Location,Number of Evictions
Inner Richmond,1132
Japantown,78
Glen Park,268
Western Addition,675
Outer Richmond,2050
Tenderloin,2538
Financial District/South Beach,266
Oceanview/Merced/Ingleside,867
Presidio Heights,496
Bernal Heights,1201
Golden Gate Park,6
Lakeshore,1530
Portola,494
Potrero Hill,520
Treasure Island,64
Pacific Heights,1221
Hayes Valley,1467
Excelsior,1247
Visitacion Valley,477
Mission Bay,23
Marina,1266
Sunset/Parkside,2539
McLaren Park,8
Nob Hill,1382
South of Market,1440
Chinatown,438
West of Twin Peaks,779
Noe Valley,1199
North Beach,980
Castro/Upper Market,1838
Haight Ashbury,1329
Lincoln Park,16
Bayview Hunters Point,1175
Seacliff,39
Lone Mountain/USF,874
Presidio,9
Mission,4539
Inner Sunset,1181
Russian Hill,1034
Outer Mission,700
Twin Peaks,369
