Location,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Inner Richmond,122,72,76,80,85,62,42,37,33,40,50,52,21,16,19,38,48,42,54,51,53,39
Japantown,7,7,4,5,6,5,1,1,0,3,4,0,3,1,4,3,1,6,4,11,2,0
Glen Park,16,41,31,20,11,17,10,8,6,9,13,8,5,10,13,4,11,6,2,12,10,5
Western Addition,50,33,56,36,38,26,19,26,21,34,16,24,22,19,17,28,34,50,46,37,21,22
Outer Richmond,147,154,125,163,125,81,56,79,80,67,65,96,53,50,50,72,87,124,134,95,87,60
Tenderloin,58,73,87,88,78,87,191,94,185,123,163,104,111,140,58,66,96,109,174,157,65,231
Financial District/South Beach,8,15,52,19,5,12,14,8,10,10,7,5,13,9,6,21,17,10,7,8,4,6
Oceanview/Merced/Ingleside,36,64,41,66,53,29,46,32,33,25,29,28,77,31,21,24,40,45,47,39,37,24
Presidio Heights,36,36,44,55,33,32,17,20,29,21,15,19,12,13,11,11,15,17,15,9,26,10
Bernal Heights,106,89,76,93,64,66,51,48,48,36,20,47,31,34,43,31,53,45,75,66,50,29
Golden Gate Park,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0
Lakeshore,78,91,71,6,6,4,3,8,22,17,11,13,9,169,212,9,98,85,83,313,96,126
Portola,31,69,32,31,35,14,8,15,8,16,14,11,27,6,13,25,11,31,31,27,25,14
Potrero Hill,45,58,61,43,26,27,20,19,20,8,7,9,13,10,22,21,17,28,28,17,13,8
Treasure Island,0,0,0,0,0,0,5,20,2,7,2,0,20,6,0,0,1,0,0,0,1,0
Pacific Heights,86,89,73,91,67,68,35,40,55,46,44,38,37,23,36,46,57,76,63,67,44,40
Hayes Valley,108,177,109,137,94,49,52,45,44,50,74,75,46,33,44,37,35,61,71,56,38,32
Excelsior,57,77,76,74,89,56,44,37,32,30,53,56,49,21,29,42,67,77,89,79,66,47
Visitacion Valley,17,31,21,42,45,26,17,14,14,9,15,11,9,22,12,14,14,35,29,34,23,23
Mission Bay,0,1,0,0,0,0,0,0,0,0,2,1,3,2,6,3,0,1,2,0,2,0
Marina,98,116,77,70,65,78,42,75,29,27,49,40,13,50,39,62,67,61,68,62,42,36
Sunset/Parkside,159,207,186,187,163,129,79,65,73,79,100,73,65,59,59,121,109,129,162,125,126,84
McLaren Park,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,2,0,0,0,0,0
Nob Hill,86,64,63,88,56,61,65,62,70,78,71,46,17,28,32,70,96,95,66,67,51,50
South of Market,39,46,62,44,46,34,31,30,68,35,45,67,42,149,38,268,124,67,47,66,47,45
Chinatown,12,23,21,24,27,9,11,21,11,9,20,16,13,23,34,17,16,29,31,33,24,14
West of Twin Peaks,55,68,44,41,49,43,44,34,29,37,13,23,16,28,24,26,52,29,44,32,30,18
Noe Valley,97,133,90,93,65,46,53,48,42,69,46,24,33,31,54,31,36,52,41,41,40,34
North Beach,47,76,87,58,52,28,52,35,23,52,32,39,17,20,26,30,87,52,51,62,32,22
Castro/Upper Market,162,148,136,108,118,93,86,90,104,116,46,88,45,42,37,50,71,103,75,47,47,26
Haight Ashbury,122,107,106,103,60,76,63,47,59,51,47,50,53,41,31,52,41,42,60,48,37,33
Lincoln Park,0,1,0,2,0,1,1,1,0,5,2,0,0,0,0,0,1,2,0,0,0,0
Bayview Hunters Point,30,61,88,87,74,46,43,31,26,32,44,41,44,47,37,48,53,62,75,81,72,53
Seacliff,3,2,5,3,0,3,2,1,0,3,0,1,0,0,4,0,0,5,2,4,0,1
Lone Mountain/USF,102,73,64,64,60,34,33,36,23,27,25,28,11,23,18,54,38,37,42,30,32,20
Presidio,1,0,0,0,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mission,302,360,319,272,281,187,180,237,219,191,166,159,120,115,130,177,239,210,185,197,146,147
Inner Sunset,75,109,82,81,88,58,51,35,40,33,69,50,63,34,31,34,57,41,47,42,41,20
Russian Hill,72,74,81,83,50,33,15,16,34,46,54,31,24,10,37,61,39,67,68,50,56,33
Outer Mission,34,42,50,62,42,23,21,12,23,21,24,16,25,16,30,19,21,38,51,47,52,31
Twin Peaks,28,22,18,33,15,10,17,13,23,9,23,23,7,20,15,15,15,10,22,12,10,9
